Minutes_in_Shower,Time_of_Day,Sleep_Quality,Stress_Level,Creative_Ideas_Generated
17,Afternoon,10,7,12
19,Evening,8,4,12
14,Evening,5,7,8
13,Morning,9,8,12
17,Evening,6,7,11
7,Morning,5,2,8
12,Morning,6,4,11
8,Afternoon,9,9,9
17,Evening,10,9,12
19,Evening,5,1,12
18,Morning,5,1,12
6,Afternoon,6,4,7
8,Afternoon,8,5,9
18,Evening,8,7,12
11,Morning,7,5,11
11,Morning,7,8,10
11,Evening,7,6,9
13,Afternoon,10,4,12
11,Evening,8,6,10
7,Afternoon,10,1,12
16,Afternoon,10,8,12
11,Morning,6,1,12
6,Evening,9,7,8
17,Evening,10,3,12
10,Afternoon,10,5,12
20,Evening,10,9,12
12,Afternoon,10,9,12
19,Afternoon,7,9,12
19,Afternoon,10,8,12
6,Morning,8,4,10
